Codigo,Categoria,Marca,Modelo,Condicao,Testado,Funcionamento,Status,Localizacao,Descricao,Arquivo_padrao
DS025,Beleza e cuidados pessoais,Nao identificada,Esmalteiro expositor de esmaltes 5 prateleiras branco/marrom,Novo,Nao se aplica,"Produto sem mecanismo; conferir medidas, prateleiras e acabamento antes de publicar/entregar.",Disponível,A1,"Esmalteira/expositor de esmaltes de parede, cor branca com estrutura marrom, modelo com cinco prateleiras para organizacao e exposicao de esmaltes.",DS025_esmalteira_expositor_de_esmaltes_de_parede_cor_branca_com_estrutura_ma_01.jpg
DS026,Casa e jardim,Sibrape,BPF-050 W01 CB,Usado,Nao se aplica,"Conferir motor, conexoes, rotor e funcionamento eletrico antes de publicar/entregar.",Disponível,A1,"Motobomba de piscina Sibrape/WEG BPF-050, 1/2 CV, motor WEG, eixo inox, bivolt 110-127/220-254V, modelo BPF 050 W01 CB. Produto fotografado sem caixa.",DS026_motobomba_de_piscina_sibrape_weg_bpf_050_1_2_cv_motor_weg_eixo_inox_bi_01.jpg
DS027,Casa e cozinha,Nao identificada,Tabua de corte e servir em madeira com alca,Novo,Nao se aplica,"Produto sem mecanismo; conferir medidas, acabamento e estado da madeira antes de publicar/entregar.",Disponível,A1,"Tábua de corte e servir em madeira, formato retangular, com alça/pegador vazado, acabamento marrom natural e bordas trabalhadas. Ideal para churrasco, frios, petiscos e cozinha.",DS027_tabua_de_corte_e_servir_em_madeira_formato_retangular_com_alca_pegador_01.jpg
DS028,Mãe e bebê,Adoleta,Banheira de bebê 15L rosa RSBB,Novo,Nao se aplica,"Produto sem mecanismo; conferir integridade, tampa/acabamento e capacidade antes de publicar/entregar.",Disponível,A1,"Banheira de bebê Adoleta, cor rosa, capacidade 15L, produto plástico para banho infantil. Etiqueta indica modelo RSBB e cor rosa bebe.",DS028_banheira_de_bebe_adoleta_cor_rosa_capacidade_15l_produto_plastico_para_01.jpg
DS029,Calcados,Nao identificada,Babuche/crocs bege adulto,Novo,Nao se aplica,"Produto sem mecanismo; conferir par, tamanho e estado geral antes de publicar/entregar.",Disponível,A1,"Par de babuches/crocs bege claro, estilo confortavel com furos frontais e tiras traseiras, indicado para uso casual, praia ou dia a dia.",DS029_par_de_babuches_crocs_bege_claro_estilo_confortavel_com_furos_frontais_01.jpg
DS030,Casa e cozinha,Mimo Style,Garrafa Lines de vidro para geladeira 1L,Novo,Nao se aplica,"Produto sem mecanismo; conferir tampa, vidro e vedacao antes de publicar/entregar.",Disponível,A1,"Garrafa de vidro para geladeira Mimo Style, capacidade 1L, com tampa inox e corpo transparente com textura em linhas. Ideal para agua, suco ou cha gelado.",DS030_garrafa_de_vidro_para_geladeira_mimo_style_capacidade_1l_com_tampa_ino_01.jpg
DS031,Casa e organizacao,Nao identificada,Caixas organizadoras transparentes kit 12 unidades,Novo,Nao se aplica,"Produto sem mecanismo; conferir quantidade, acabamento e estado geral antes de publicar/entregar.",Disponível,A1,"Kit com 12 caixas organizadoras transparentes pequenas, empilhaveis, estilo multiuso para armario, gaveta, cozinha ou itens diversos.",DS031_kit_com_12_caixas_organizadoras_transparentes_pequenas_empilhaveis_est_01.jpg
DS032,Ferramentas e melhorias para casa,Não identificada,Extensão elétrica 15 m,Novo,Não,"Produto sem mecanismo; conferir cabo, plugue, tomadas e continuidade antes de publicar.",Disponível,A1,"Extensão elétrica preta de 15 metros, uso geral, com plugue e tomadas múltiplas, cabo reforçado.",DS032_extensao_eletrica_preta_de_15_metros_uso_geral_com_plugue_e_tomadas_mu_01.jpg
DS033,Casa e suporte de TV,Não identificada,Suporte articulado para TV 32-75,Novo,Não,"Produto sem mecanismo eletrônico; conferir estrutura, articulações, parafusos e acabamento antes de publicar.",Disponível,A1,"Suporte de parede articulado para TV, compatível com telas de 32 a 75 polegadas, VESA 600x400, carga máxima de 35 kg.",DS033_suporte_de_parede_articulado_para_tv_compativel_com_telas_de_32_a_75_p_01.jpg
DS034,Casa e limpeza,Calisul,Percarbonato de sódio tira manchas,Novo,Não,"Produto em pó; conferir embalagem, lacre e peso antes de publicar.",Disponível,A1,"Calisul tira manchas com percarbonato de sódio, embalagem família, para uso em limpeza e remoção de manchas.",DS034_calisul_tira_manchas_com_percarbonato_de_sodio_embalagem_familia_para__01.jpg
DS035,Beleza e cuidados pessoais,NORO,Kit bálsamo labial 4 un,Novo,Não,Produto de higiene e beleza; conferir lacre e integridade das embalagens.,Disponível,A1,"Kit de bálsamo labial hidratante NORO com 4 unidades, em embalagem de conjunto para cuidados com os lábios.",DS035_kit_de_balsamo_labial_hidratante_noro_com_4_unidades_em_embalagem_de_c_01.jpg
DS036,Beleza e cuidados pessoais,Top Beauty,Concreto endurecedor com formol,Novo,Não,"Produto de uso cosmético; conferir validade, lacre e conservação da embalagem.",Disponível,A1,"Base concreto endurecedora com formol para unhas, indicada para fortalecimento e acabamento de cuidado das unhas.",DS036_base_concreto_endurecedora_com_formol_para_unhas_indicada_para_fortale_01.jpg
DS037,Beleza e cuidados com a pele,OUHOE,Retinol Colágeno Complex + HA,Novo,Não,"Produto cosmético; conferir lacre, validade e integridade da embalagem.",Disponível,A1,"Creme facial com retinol, colágeno e ácido hialurônico, indicado para uso diário e anti-idade.",DS037_creme_facial_com_retinol_colageno_e_acido_hialuronico_indicado_para_us_01.jpg
DS038,Automotivo e limpeza,Wurth,Removedor de ferrugem 250 ml,Novo,Não,"Produto químico; conferir lacre, volume e conservação antes da publicação.",Disponível,A1,"Removedor de ferrugem Wurth 250 ml, indicado para limpeza, descontaminação e remoção de ferrugem em superfícies metálicas.",DS038_removedor_de_ferrugem_wurth_250_ml_indicado_para_limpeza_descontaminac_01.jpg
DS039,Saúde e suplementos,Under Labz,Dimethylx 60 cápsulas,Novo,Não,"Produto suplementar; conferir lacre, validade e rótulo antes de publicar.",Disponível,A1,"Suplemento termogênico Dimethylx Under Labz, frasco com 60 cápsulas, indicado para apoio à performance e energia.",DS039_suplemento_termogenico_dimethylx_under_labz_frasco_com_60_capsulas_ind_01.jpg
DS040,Beleza e cuidados com o cabelo,Arvensis,Cachos Naturais 500 g,Novo,Não,"Produto cosmético; conferir lacre, validade e integridade da embalagem.",Disponível,A1,"Máscara capilar Arvensis Cachos Naturais 2x1, frasco de 500 g, para hidratação e nutrição de cabelos crespos e crespíssimos.",DS040_mascara_capilar_arvensis_cachos_naturais_2x1_frasco_de_500_g_para_hidr_01.jpg
